ReEDS region,Marginal Generation Price (in 2014$/MWh),Source_Marginal Generation Price ,Escalation factor (EIA Reference case)
148,38.3633592,Alternative ReEDS region LMP,1.08
149,34.43633609,Alternative ReEDS region LMP,1.37
150,36.04082504,LMP,1.37
151,33.59712039,Alternative ReEDS region LMP,1.37
152,30.35894254,Alternative ReEDS region LMP,1.23
153,30.35894254,Alternative ReEDS region LMP,1.23
154,34.88547595,LMP,1.23
155,35.00963206,Alternative ReEDS region LMP,1.23
156,35.00963206,LMP,1.23
157,34.64914703,Alternative ReEDS region LMP,1.23
158,36.18847807,LMP,1.23
159,35.00963206,Alternative ReEDS region LMP,1.09
160,35.51030786,LMP,1.09
161,35.00963206,Alternative ReEDS region LMP,1.09
162,39.80458382,LMP,1.09
163,31.7891651,MMC (lambda),1.37
164,31.7891651,MMC (lambda),1.37
165,31.7891651,MMC (lambda),1.37
166,31.7891651,MMC (lambda),1.37
167,31.7891651,MMC (lambda),1.37
168,35.3349056,,1.37
169,31.7891651,MMC (lambda),1.37
170,34.84217907,LMP,1.37
171,46.87181086,LMP,1.37
172,31.7891651,MMC (lambda),1.37
173,31.7891651,MMC (lambda),1.37
174,31.7891651,MMC (lambda),1.37
175,31.7891651,MMC (lambda),1.37
176,34.23584168,LMP,1.07
177,35.62693905,LMP,1.19
178,30.69494286,LMP,1.19
179,31.97712895,LMP,1.19
180,26.35059418,LMP,1.19
181,31.9382091,MMC (lambda),1.19
182,33.83498236,LMP,1.19
183,31.35005888,LMP,1.19
184,33.49429417,Alternative ReEDS region LMP,1.09
185,33.57342041,LMP,1.09
186,33.57342041,Alternative ReEDS region LMP,1.09
187,34.59537569,LMP,1.09
188,36.88566253,Alternative ReEDS region LMP,1.09
189,31.792553,LMP,1.09
190,31.9382091,MMC (lambda),1.09
191,46.68362556,LMP,1.18
192,42.66149072,LMP,1.19
193,39.64164809,LMP,1.19
194,39.34933734,LMP,1.19
195,40.30244649,LMP,1.19
196,31.9382091,MMC (lambda),1.19
197,40.68808125,LMP,1.19
198,38.18084608,LMP,1.19
199,38.43160709,LMP,1.26
200,35.73409822,LMP,1.26
201,31.9382091,MMC (lambda),1.26
202,38.07922759,LMP,1.26
203,36.50290434,LMP,1.26
204,31.00897912,LMP,1.26
205,37.0830402,LMP,1.26
206,39.98777258,LMP,1.26
207,38.67655559,LMP,1.26
208,37.04086666,LMP,1.26
209,36.78878657,LMP,1.26
210,35.69080461,LMP,1.26
211,49.42672685,LMP,1.18
212,45.59358241,LMP,1.18
213,40.89526164,LMP,1.18
214,46.91759835,LMP,1.18
215,46.45856329,LMP,1.18
216,31.9382091,MMC (lambda),1.18
217,45.59984326,LMP,1.18
218,44.51974577,LMP,1.18
219,39.50351875,LMP,1.12
220,41.20708739,LMP,1.12
221,45.19122941,LMP,1.12
222,39.3262466,LMP,1.12
223,40.89608316,LMP,1.12
224,39.60810279,LMP,1.12
225,38.37220204,LMP,1.12
226,39.14014068,LMP,1.12
227,46.25354346,LMP,1.12
228,43.09432683,LMP,1.12
229,43.0696733,LMP,1.12
230,44.75443043,LMP,1.12
231,42.11977573,LMP,1.12
232,42.31943094,LMP,1.12
233,37.36460799,MMC (lambda),1.12
234,44.33491617,LMP,1.12
235,42.72212624,LMP,1.12
236,26.36590191,MMC (lambda),1.01
237,39.38238806,MMC (lambda),1.01
238,38.50773212,LMP,1.01
239,42.58534107,LMP,1.01
240,40.00692429,MMC (lambda),1.01
241,26.36590191,MMC (lambda),1.01
242,41.75682554,LMP,1.01
243,43.4769976,LMP,0.98
244,44.35001825,LMP,0.98
245,46.70458335,LMP,0.98
246,42.1431937,LMP,1.12
247,37.36460799,MMC (lambda),1.12
248,41.14802901,LMP,1.12
249,41.64956141,LMP,1.12
250,45.51377178,LMP,1.12
251,41.16504182,LMP,1.12
252,43.25020171,LMP,1.12
253,51.41186448,LMP,1.12
254,55.52728912,LMP,1.12
255,53.45575922,LMP,1.12
256,45.67465737,LMP,1.37
257,31.9382091,MMC (lambda),1.09
258,36.03193735,LMP,1.09
259,36.88566253,LMP,1.09
260,41.12572645,LMP,1.09
261,40.91460728,LMP,1.09
262,37.35417362,LMP,1.09
263,27.13989599,MMC (lambda),1.09
264,39.04612601,LMP,1.09
265,32.55500401,MMC (lambda),0.98
