,ReEDS region,Marginal Generation Price (in 2014$/MWh),Source_Marginal Generation Price ,Escalation factor (EIA Reference case),Marginal Generation Price (in 2014$/MWh)_esc
226,227,46.25354346,LMP,1.12,51.8039686752
227,228,43.09432683,LMP,1.12,48.2656460496
228,229,43.0696733,LMP,1.12,48.238034096
229,230,44.75443043,LMP,1.12,50.1249620816
230,231,42.11977573,LMP,1.12,47.1741488176
231,232,42.31943094,LMP,1.12,47.3977626528
232,233,37.36460799,MMC (lambda),1.12,41.8483609488
233,234,44.33491617,LMP,1.12,49.6551061104
234,235,42.72212624,LMP,1.12,47.8487813888
235,236,26.36590191,MMC (lambda),1.01,26.6295609291
236,237,39.38238806,MMC (lambda),1.01,39.7762119406
237,238,38.50773212,LMP,1.01,38.8928094412
238,239,42.58534107,LMP,1.01,43.0111944807
239,240,40.00692429,MMC (lambda),1.01,40.4069935329
240,241,26.36590191,MMC (lambda),1.01,26.6295609291
241,242,41.75682554,LMP,1.01,42.1743937954
242,243,43.4769976,LMP,0.98,42.607457648
243,244,44.35001825,LMP,0.98,43.463017885
244,245,46.70458335,LMP,0.98,45.770491683
245,246,42.1431937,LMP,1.12,47.200376944
246,247,37.36460799,MMC (lambda),1.12,41.8483609488
247,248,41.14802901,LMP,1.12,46.0857924912
248,249,41.64956141,LMP,1.12,46.6475087792
249,250,45.51377178,LMP,1.12,50.9754243936
250,251,41.16504182,LMP,1.12,46.1048468384
251,252,43.25020171,LMP,1.12,48.4402259152
252,253,51.41186448,LMP,1.12,57.5812882176
253,254,55.52728912,LMP,1.12,62.1905638144
254,255,53.45575922,LMP,1.12,59.8704503264
255,256,45.67465737,LMP,1.37,62.5742805969
256,257,31.9382091,MMC (lambda),1.09,34.812647919
257,258,36.03193735,LMP,1.09,39.2748117115
258,259,36.88566253,LMP,1.09,40.2053721577
259,260,41.12572645,LMP,1.09,44.8270418305
260,261,40.91460728,LMP,1.09,44.5969219352
261,262,37.35417362,LMP,1.09,40.7160492458
262,263,27.13989599,MMC (lambda),1.09,29.5824866291
263,264,39.04612601,LMP,1.09,42.5602773509
264,265,32.55500401,MMC (lambda),0.98,31.9039039298
265,266,38.42959903,MMC (lambda),0.98,37.6610070494
266,267,38.24145871,MMC (lambda),0.98,37.4766295358
267,268,32.55500401,MMC (lambda),0.98,31.9039039298
268,269,32.55500401,MMC (lambda),1.03,33.5316541303
269,270,32.55500401,MMC (lambda),1.03,33.5316541303
270,271,32.55500401,MMC (lambda),1.03,33.5316541303
271,272,27.13989599,MMC (lambda),0.98,26.5970980702
272,273,32.55500401,MMC (lambda),0.98,31.9039039298
273,274,38.42959903,MMC (lambda),0.98,37.6610070494
